N.test,b1.test,b2.test,varInt.test,varSlope_b1.test,varSlope_b2.test,varResid.test,power_b1,power_b2,r_x1,r_x2
60,0.05,0.05,0.01,0.05,0.1,0.1,0.684,0.706,0.0969430464479873,0.123078618200111
60,0.05,0.05,0.01,0.05,0.1,0.2,0.586,0.677,0.0846916389772761,0.112489110807944
60,0.05,0.05,0.01,0.05,0.1,0.3,0.546,0.663,0.0774430083769238,0.10395980749067
60,0.05,0.05,0.01,0.1,0.01,0.01,0.753,0.991,0.147162085353462,0.180799522910586
60,0.05,0.05,0.01,0.1,0.01,0.1,0.718,0.961,0.12185202766625,0.143023295736766
60,0.05,0.05,0.01,0.1,0.01,0.2,0.666,0.912,0.105398831747253,0.120687980057393
60,0.05,0.05,0.01,0.1,0.01,0.3,0.6,0.849,0.0902291186616459,0.10627157425975
60,0.05,0.05,0.01,0.1,0.05,0.01,0.723,0.838,0.128017710210034,0.148263252417493
60,0.05,0.05,0.01,0.1,0.05,0.1,0.654,0.773,0.103365255736999,0.126769018941627
60,0.05,0.05,0.01,0.1,0.05,0.2,0.582,0.755,0.093706549175196,0.114983429979581
60,0.05,0.05,0.01,0.1,0.05,0.3,0.594,0.684,0.0893929062175435,0.102689614481725
60,0.05,0.05,0.01,0.1,0.1,0.01,0.648,0.734,0.105536690433383,0.1276787363666
60,0.05,0.05,0.01,0.1,0.1,0.1,0.613,0.686,0.0942860955650778,0.115049867988416
60,0.05,0.05,0.01,0.1,0.1,0.2,0.577,0.661,0.0842440060476134,0.106240488246874
60,0.05,0.05,0.01,0.1,0.1,0.3,0.518,0.592,0.0790869878549822,0.0957777984007965
60,0.05,0.05,0.05,0.01,0.01,0.01,0.999,0.999,0.264154754842274,0.328473078648013
60,0.05,0.05,0.05,0.01,0.01,0.1,0.971,0.997,0.154415532397108,0.189819556342625
60,0.05,0.05,0.05,0.01,0.01,0.2,0.901,0.966,0.117941948754419,0.151944840285841
60,0.05,0.05,0.05,0.01,0.01,0.3,0.775,0.919,0.0982682576947655,0.125439717886208
60,0.05,0.05,0.05,0.01,0.05,0.01,0.987,0.886,0.15898567289829,0.203143273843953
60,0.05,0.05,0.05,0.01,0.05,0.1,0.927,0.822,0.121334648569029,0.156284891089169
60,0.05,0.05,0.05,0.01,0.05,0.2,0.814,0.777,0.100775563748872,0.125351422092866
60,0.05,0.05,0.05,0.01,0.05,0.3,0.705,0.723,0.0877787949582829,0.111744781948558
60,0.05,0.05,0.05,0.01,0.1,0.01,0.966,0.801,0.122459145295313,0.162000080369536
60,0.05,0.05,0.05,0.01,0.1,0.1,0.822,0.756,0.0989248807583183,0.139936127823283
60,0.05,0.05,0.05,0.01,0.1,0.2,0.755,0.715,0.0902919950632363,0.118666226050062
60,0.05,0.05,0.05,0.01,0.1,0.3,0.64,0.709,0.0795409247598065,0.112170099735627
60,0.05,0.05,0.05,0.05,0.01,0.01,0.854,0.997,0.177203963205991,0.225912745711811
60,0.05,0.05,0.05,0.05,0.01,0.1,0.807,0.976,0.135861946171538,0.164087717526358
60,0.05,0.05,0.05,0.05,0.01,0.2,0.723,0.938,0.108858815363195,0.13551085993851
60,0.05,0.05,0.05,0.05,0.01,0.3,0.656,0.884,0.0927184886756251,0.114923589870217
60,0.05,0.05,0.05,0.05,0.05,0.01,0.812,0.87,0.138851959720114,0.171289340579448
60,0.05,0.05,0.05,0.05,0.05,0.1,0.729,0.806,0.110269919967378,0.143931204431116
60,0.05,0.05,0.05,0.05,0.05,0.2,0.693,0.765,0.0987160043248567,0.120779777842765
60,0.05,0.05,0.05,0.05,0.05,0.3,0.597,0.727,0.0853864627328021,0.10744311933436
60,0.05,0.05,0.05,0.05,0.1,0.01,0.727,0.747,0.10740294372713,0.141135659090391
60,0.05,0.05,0.05,0.05,0.1,0.1,0.648,0.7,0.0946267161407412,0.125056720703035
60,0.05,0.05,0.05,0.05,0.1,0.2,0.618,0.668,0.0858695460248319,0.113314152463123
60,0.05,0.05,0.05,0.05,0.1,0.3,0.55,0.641,0.0777485485135722,0.103011407425313
60,0.05,0.05,0.05,0.1,0.01,0.01,0.766,0.989,0.149571182837332,0.178202627222394
60,0.05,0.05,0.05,0.1,0.01,0.1,0.726,0.964,0.128002575440035,0.14403080452747
60,0.05,0.05,0.05,0.1,0.01,0.2,0.648,0.913,0.10315547747615,0.121940346322639
60,0.05,0.05,0.05,0.1,0.01,0.3,0.587,0.857,0.0916273080327597,0.1077004931514
60,0.05,0.05,0.05,0.1,0.05,0.01,0.705,0.844,0.122387723893125,0.149477579210015
60,0.05,0.05,0.05,0.1,0.05,0.1,0.676,0.763,0.110968502781027,0.123968357220069
60,0.05,0.05,0.05,0.1,0.05,0.2,0.631,0.713,0.0949100966756009,0.109253975606428
60,0.05,0.05,0.05,0.1,0.05,0.3,0.566,0.679,0.0878475003608741,0.099694552721673
60,0.05,0.05,0.05,0.1,0.1,0.01,0.651,0.715,0.105851432077394,0.130856554805481
